filename,size_mb,id_name,status,odoo_main,fm_main,safe_to_delete
"LO GMA-51624_Eden Antarctic, 2022, RECTO.tif",514.3,GMA-51624,?,—,—,NON
"KATZAL-47015_Man with Brown Hat, 1979, VERSO.tif",723.9,KATZAL-47015,delivered,KATZAL-47015.png,KATZAL-47015.png,NON
"KATZAL-47015_Man with Brown Hat, 1979, RECTO.tif",773.9,KATZAL-47015,delivered,KATZAL-47015.png,KATZAL-47015.png,NON
"KATZAL-47836_Laura 11, 2017, RECTO.tif",535.7,KATZAL-47836,delivered,KATZAL-47836.jpg,KATZAL-47836.jpg,NON
[KATZAL-53155]_Vivien_ 2025_VERSO.tif,532.5,KATZAL-53155,sold,KATZAL-53155.jpg,KATZAL-53155.jpg,NON
[KATZAL-53155]_Vivien_2025_DETAIL.tif,582.3,KATZAL-53155,sold,KATZAL-53155.jpg,KATZAL-53155.jpg,NON
"KAWS-46414_Seeing Black (BFF Lamp), 2020.mov",902.2,KAWS-46414,delivered,KAWS-46414.jpg,KAWS-46414.jpg,NON
"KUSAYA-52172_INFINITY-NETS (OWATTS), 2007, RECTO 1.tif",1224.3,KUSAYA-52172,delivered,KUSAYA-52172.png,KUSAYA-52172.png,NON
"KUSAYA-52172_ INFINITY-NETS (OWATTS), 2007.tif",1224.3,KUSAYA-52172,delivered,KUSAYA-52172.png,KUSAYA-52172.png,NON
"PLENJA-52700_Silent Music V, 2000, RECTO © Cristina de Blas and Jimena R. Herrera.tif",1457.2,PLENJA-52700,delivered,PLENJA-52700.jpg,PLENJA-52700.jpg,NON
"POLISE-49243_Composition abstraite, 1959, VERSO.tif",629.6,POLISE-49243,delivered,POLISE-49243.jpg,POLISE-49243.jpg,NON
"SAURAN-47260_Santa Teresa, 1958.tif",1291.9,SAURAN-47260,delivered,SAURAN-47260.png,SAURAN-47260.png,NON
"TIANLI-51568_Montrer les planches, 2017, RECTO.tif",853.9,TIANLI-51568,on hold,TIANLI-51568.png,TIANLI-51568.png,NON
"TOLUAW-49419_Black Cowboy, 2022.tif",555.3,TOLUAW-49419,on hold,TOLUAW-49419.png,TOLUAW-49419.png,NON
"TOLUAW-49421_Life and Death, 2022.tif",667.4,TOLUAW-49421,on hold,TOLUAW-49421.png,TOLUAW-49421.png,NON
"TOLUAW-49422_Nature of man, 2022.tif",567.3,TOLUAW-49422,on hold,TOLUAW-49422.png,TOLUAW-49422.png,NON
"TOLUAW-49423_Miss Erin. and Durango, 2023.tif",560.1,TOLUAW-49423,on hold,TOLUAW-49423.png,TOLUAW-49423.png,NON
"TOLUAW-49424_Spirit of Ecstasy, 2023.tif",792.6,TOLUAW-49424,on hold,TOLUAW-49424.png,TOLUAW-49424.png,NON
"TOLUAW-49425_Solitude, 2023.tif",761.4,TOLUAW-49425,on hold,TOLUAW-49425.png,TOLUAW-49425.png,NON
"VALDMA-46131_Odalisca Roja y Amarilla, 2021.tif",519.3,VALDMA-46131,delivered,VALDMA-46131.jpg,VALDMA-46131.jpg,NON
"VALDMA-46412_Cabeza con Mariposas, 87x183x58cm.tif",519.3,VALDMA-46412,delivered,VALDMA-46412.png,VALDMA-46412.png,NON
WILEKE-44863_Portrait of Lya Pouleyy.tif,687.0,WILEKE-44863,delivered,WILEKE-44863.jpg,WILEKE-44863.jpg,NON
